,Link,Title,Subtitle,Price,Sale Price
100,https://www.nike.com/t/air-womens-high-rise-fleece-shorts-plus-size-kgNVk4/DV5677-569,Nike Air,Women's High-Rise Fleece Shorts (Plus Size),$60 ,$32.97 
101,https://www.nike.com/t/air-max-90-ltr-little-kids-shoes-1DZRJ1/CD6867-124,Nike Air Max 90 LTR,Little Kids’ Shoes,$80 ,$68.97 
102,https://www.nike.com/t/court-vision-alta-womens-shoes-TbljXk/DM0113-600,Nike Court Vision Alta,Women's Shoes,$85 ,$63.97 
103,https://www.nike.com/t/sportswear-mens-t-shirt-GJcHvR/DR9763-480,Nike Sportswear,Men's T-Shirt,$40 ,$32.97 
104,https://www.nike.com/t/indy-womens-light-support-padded-sports-bra-3MqpwX/DD1675-100,Nike Indy,Women's Light-Support Padded Sports Bra,$35 ,$25.97 
105,https://www.nike.com/t/essential-womens-cheeky-swim-bottom-VB3spm/NESSA220-445,Nike Essential,Women's Cheeky Swim Bottom,$40 ,$34.97 
106,https://www.nike.com/t/toddler-air-warm-up-set-f9wDv5/76J791-023,Nike,Toddler Air Warm-Up Set,$85 ,$65.97 
107,https://www.nike.com/t/dri-fit-uv-mens-9-golf-chino-shorts-5cn6GF/DA4142-451,Nike Dri-FIT UV,"Men's 9"" Golf Chino Shorts",$68 ,$54.97 
108,https://www.nike.com/t/dri-fit-one-big-kids-girls-bike-shorts-3ZDj7d/DQ8832-084,Nike Dri-FIT One,Big Kids' (Girls') Bike Shorts,$25 ,$18.97 
109,https://www.nike.com/t/pro-dri-fit-big-kids-boys-long-sleeve-top-3DCp6h/DM8529-091,Nike Pro Dri-FIT,Big Kids' (Boys') Long-Sleeve Top,$30 ,$24.97 
110,https://www.nike.com/t/dri-fit-uv-one-luxe-womens-standard-fit-short-sleeve-top-plus-size-qnlGWt/DJ6751-684,Nike Dri-FIT UV One Luxe,Women's Standard Fit Short-Sleeve Top (Plus Size),$52 ,$44.97 
111,https://www.nike.com/t/air-max-intrlk-lite-baby-toddler-shoes-ZsRFZf/DH9410-300,Nike Air Max INTRLK Lite,Baby/Toddler Shoes,$50 ,$42.97 
112,https://www.nike.com/t/americana-top-xlQQ0G/DV9642-133,Nike,Americana Top,$85 ,$50.97 
113,https://www.nike.com/t/metcon-8-mens-training-shoes-ppltpW/DO9328-100,Nike Metcon 8,Men's Training Shoes,$130 ,$110.97 
114,https://www.nike.com/t/one-m-womens-7-biker-shorts-maternity-XXLQC7/DN1815-827,Nike One (M),"Women's 7"" Biker Shorts (Maternity)",$42 ,$20.97 
115,https://www.nike.com/t/dri-fit-trail-t-shirt-zlDxBZ/DR7671-446,Nike Dri-FIT,Trail T-Shirt,$35 ,$20.97 
116,https://www.nike.com/t/alpha-huarache-elite-4-turf-womens-softball-shoes-253w2V/DV0496-012,Nike Alpha Huarache Elite 4 Turf,Women's Softball Shoes,$80 ,$64.97 
117,https://www.nike.com/t/dri-fit-stride-mens-7-2-in-1-running-shorts-7k3kcX/DM4757-084,Nike Dri-FIT Stride,"Men's 7"" 2-in-1 Running Shorts",$65 ,$52.97 
118,https://www.nike.com/t/sportswear-little-kids-leggings-Qh9WS4/36C723-042,Nike Sportswear,Little Kids' Leggings,$25 ,$21.97 
119,https://www.nike.com/t/jordan-toddler-t-shirt-and-shorts-set-5f2R7Z/25B558-A4Y,Jordan,Toddler T-Shirt and Shorts Set,$40 ,$27.97 
120,https://www.nike.com/t/revolution-6-next-nature-womens-road-running-shoes-wide-0QsM7B/DC9001-003,Nike Revolution 6 Next Nature,Women's Road Running Shoes (Wide),$70 ,$56.97 
121,https://www.nike.com/t/dri-fit-swoosh-big-kids-girls-reversible-sports-bra-86Pb3V/DJ6023-622,Nike Dri-FIT Swoosh,Big Kids’ (Girls’) Reversible Sports Bra,$30 ,$22.97 
122,https://www.nike.com/t/star-runner-3-baby-toddler-shoes-nqnlQ1/DA2778-007,Nike Star Runner 3,Baby/Toddler Shoes,$43 ,$35.97 
123,https://www.nike.com/t/air-wio-9-premium-womens-road-running-shoes-0MS1bT/DR8802-100,Nike Air Winflo 9 Premium,Women's Road Running Shoes,$100 ,$86.97 
124,https://www.nike.com/t/sportswear-big-kids-faux-fur-jacket-nhBl7T/DV3252-070,Nike Sportswear,Big Kids' Faux Fur Jacket,$140 ,$119.97 
125,https://www.nike.com/t/sportswear-tribute-mens-n98-jacket-G5Jv1Z/DA0003-410,Nike Sportswear Tribute,Men's N98 Jacket,$85 ,$72.97 
126,https://www.nike.com/t/zoom-rival-xc-5-track-field-distance-spikes-HR9ZQT/CZ1795-801,Nike Zoom Rival XC 5,Track & Field Distance Spikes,$65 ,$46.97 
127,https://www.nike.com/t/air-more-uptempo-big-kids-shoes-XXS2f0/FB1344-001,Nike Air More Uptempo,Big Kids' Shoes,$140 ,$119.97 
128,https://www.nike.com/t/sportswear-gym-vintage-womens-shorts-plus-size-wlQ7zq/DN5022-611,Nike Sportswear Gym Vintage,Women's Shorts (Plus Size),$35 ,$20.97 
129,https://www.nike.com/t/sportswear-circa-72-big-kids-hoodie-TLczFh/DO6851-200,Nike Sportswear Circa 72,Big Kids' Hoodie,$75 ,$36.97 
130,https://www.nike.com/t/max-90-alabama-mens-long-sleeve-t-shirt-j9fgPg/DR7195-010,Nike College Max 90 (Alabama),Men's Long-Sleeve T-Shirt,$45 ,$30.97 
131,https://www.nike.com/t/epic-luxe-womens-mid-rise-7-8-length-running-leggings-plus-size-X6pMjh/DR1542-425,Nike Epic Luxe,Women's Mid-Rise 7/8-Length Running Leggings (Plus Size),$110 ,$76.97 
132,https://www.nike.com/t/therma-fit-womens-full-zip-hoodie-k2fCV0/DQ6268-010,Nike Therma-FIT,Women's Full-Zip Hoodie,$100 ,$85.97 
133,https://www.nike.com/t/dri-fit-tempo-icon-clash-womens-running-shorts-bDpBl1/DQ6356-623,Nike Dri-FIT Tempo Icon Clash,Women's Running Shorts,$38 ,$22.97 
134,https://www.nike.com/t/yoga-dri-fit-luxe-womens-cropped-tank-plus-size-2fTcR1/DV4909-231,Nike Yoga Dri-FIT Luxe,Women's Cropped Tank (Plus Size),$52 ,$44.97 
135,https://www.nike.com/t/renew-elevate-3-basketball-shoes-BQ8xtz/DD9304-500,Nike Renew Elevate 3,Basketball Shoes,$80 ,$68.97 
136,https://www.nike.com/t/zoom-freak-4-cookies-and-cream-basketball-shoes-dsLlqf/DJ6149-001,"Zoom Freak 4 ""Cookies and Cream""",Basketball Shoes,$130 ,$117.97 
137,https://www.nike.com/t/sportswear-womens-t-shirt-plus-size-3TW8ZG/DJ2748-100,Nike Sportswear,Women's T-Shirt (Plus Size),$30 ,$25.97 
138,https://www.nike.com/t/sportswear-club-big-kids-boys-joggers-extended-size-8ldGHw/DJ5520-010,Nike Sportswear Club,Big Kids' (Boys') Joggers (Extended Size),$45 ,$38.97 
